period,line,jod
Year 1,Briefs submitted,480
Year 1,Qualified briefs,288
Year 1,Hires (est.),86
Year 1,Revenue: lead fees,9720
Year 1,Revenue: agency subscriptions,3136
Year 1,Revenue: escrow commission,0
Year 1,"Revenue: featured, data, partnerships",0
Year 1,Total revenue,12856
Year 1,Cost: Company setup & legal,3500
Year 1,"Cost: Hosting, domains, tools",1800
Year 1,Cost: Ops/sales hire (from M4),8100
Year 1,Cost: Part-time content & design (from M4),3600
Year 1,Cost: Paid acquisition (from M4),10800
Year 1,Cost: Agency outreach & events,2000
Year 1,Cost: Accounting & misc,1500
Year 1,Total costs,31300
Year 1,Net,-18444
Year 2,Briefs submitted,1460
Year 2,Qualified briefs,876
Year 2,Hires (est.),307
Year 2,Revenue: lead fees,39420
Year 2,Revenue: agency subscriptions,23520
Year 2,Revenue: escrow commission,5519
Year 2,"Revenue: featured, data, partnerships",3000
Year 2,Total revenue,71459
Year 2,Cost: Founder salary,18000
Year 2,Cost: Ops & sales (2 people),24000
Year 2,Cost: Content & design,6000
Year 2,Cost: Paid acquisition,24000
Year 2,"Cost: Hosting, domains, tools",3600
Year 2,"Cost: Legal, payments licensing",4000
Year 2,Cost: Accounting & misc,3000
Year 2,Total costs,82600
Year 2,Net,-11141
Year 3,Briefs submitted,2660
Year 3,Qualified briefs,1596
Year 3,Hires (est.),638
Year 3,Revenue: lead fees,71820
Year 3,Revenue: agency subscriptions,53100
Year 3,Revenue: escrow commission,22982
Year 3,"Revenue: featured, data, partnerships",12000
Year 3,Total revenue,159902
Year 3,Cost: Founder salary,24000
Year 3,"Cost: Team (ops x2, sales, support)",50400
Year 3,Cost: Content & design,7200
Year 3,Cost: Paid acquisition,36000
Year 3,"Cost: Hosting, domains, tools",6000
Year 3,Cost: Legal & compliance,4000
Year 3,Cost: Accounting & misc,5000
Year 3,Total costs,132600
Year 3,Net,27302
